술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식,술 생산 지역
리큐르/기타주류,제주감귤주 귤로만,7%,감귤원액(제주),"감귤로 착색, 착향시켜 만든 과실주가 아닌 오로지 감귤만을 이용하여 술을 빚은 과실주로 ‘귤로만’이란 이름을 붙였다. 자연이 준 제주의 맑은 공기와 기름진 토양에서 자란 제주산 감귤만을 100% 사용하여 청정 제주의 물로 발효시킨 탁주이다. 순수100% 제주도산 감귤과즙으로만 발효하여 감귤의 비타민A, 비타민C, 구연산, 칼슘, 칼륨 등이 풍부하며 껍질까지 통째로 갈아 탁주효모로 발효시켜 새콤달콤하면서 쌉싸름한 맛을 낸다.","제주 감귤주를 마실 때 삼겹살을 노릇노릇 구워 같이 먹으면, 감귤의 진한향이 고기의 냄새를 없애주고, 상큼한 맛이 삼겹살의 느끼함도 사라지게 해주어서 좋다.",제주 제주시 애월읍 용흥7길 23 제주와이너리
리큐르/기타주류,산내울 오미자주,16%,"오미자, 설탕, 주정, 정제수, 과당","거창 산내울 오미자주는 해발 600ｍ 이상 고지대에서 자란 청정 오미자를 원료로 사용한다. 고지대로 병충해가 거의 없어 농약을 치지 않고 재배한다. 주원료인 오미자는 단맛, 신맛, 매운맛, 쓴맛, 짠맛 등 5가지 맛을 지닌 약재로 항산화 기능이 뛰어난 ‘안토시아닌’ 물질이 많아 피부미용, 노화방지, 골다공증 예방에 효과가 있다. 산내울 오미자주는 오미자의 다섯 가지 맛과 향을 살려 풍부한 과일향이 스르르 혀끝에 스며들고, 쌉쌀하면서도 깔끔하고 개운한 뒷맛이 특징이다.","색이 아름다운 산내울 오미자주는 생선 회, 편육 냉채 등과 잘 어울린다.",충남 예산군 고덕면 대몽로 107-25
리큐르/기타주류,백운복분자주,13%,"국내산 쌀, 국내산 복분자","복분자는 본초강목, 동의보감 등 문헌에 기운을 돕고 피로를 풀어 몸을 가볍게 한다고 되어 있다. 쌀을 찐 다음 누룩과 물, 복분자과즙을 넣고 저온장기발효와 냉장저장고에서의 휴면발효공법으로 제조하여 잡냄새가 없고 여과 시 자체 개발된 항균포를 사용하여 깔끔한 맛이 특징이다.","낙지볶음, 해물찜낙지는 쓰러진 소에게 먹이면 벌떡 일어난다는 옛말처럼 보양 음식으로 좋다. 기운을 돕고 피로를 풀어주는 복분자주에 해산물 요리를 안주로 하면 건강식으로도 그만이다. 해물찜은 각종 해산물과 야채를 양념한 음식으로 매콤한 양념 맛을 달콤한 복분자주가 중화시켜 주어 궁합이 잘 맞는다.",전남 광양시 옥룡면 죽천리 715-1
리큐르/기타주류,주몽복분자주,16%,"국내산 쌀, 국내산 복분자","1995년 국세청 기술연구소 제조방법 특허를 이용 순수발효방법으로 참 복분자주를 개발하였고, 2006년 8월 맛과 주질을 향상시켜 주몽복분자주 브랜드로 출시하였다. 주정을 첨가하지 않고 100% 복분자로 발효한 약주를 블렌딩하여 맛이 부드러우며 복분자의 향과 발효 누룩의 향이 조화롭게 어우러져 있어 끝 맛까지 향기로운 복분자주이다.","육류소금구이  양념에 재우지 않은 생고기를 달군 불판에 바로 익혀 먹으면 육류의 담백한 맛을 느낄 수 있어서 좋은데, 고기 육즙에서 배어나오는 잡내와 느끼함을 복분자주의 달콤함과 과일향의 뒷맛이 깔끔하게 잡아준다.",전북 남원시 시묘길 130(오암동)
리큐르/기타주류,매실탁테일,7%,"국내산 백미, 매실천연과즙","탁주(막걸리)와 과실을 이용한 칵테일,제품명 탁테일은 2011년 식품 트렌드에 맞춰 소재(매실)와 색상(초록색)을 중심으로 한 제품의 하나이다. 매실을 전분질 원료대비 20%이상 넣어 본연의 특성을 살린 천연과실탁주이며, 배혜정도가 제품특유의 깔끔한 목 넘김에 과실본연의 풍미를 끌어올려 눈과 코, 입이 모두 즐거운 제품이다.","연어샐러드  연어샐러드는 가벼운 와인안주로 많이 선호하는 음식인데, 연어에 신선한 채소를 곁들인 연어샐러드는 천연과실탁주인 매실탁테일의 깔끔한 풍미를 느끼기에 충분한 안주가 된다.",경기도 화성시 정남면 서봉로 835
리큐르/기타주류,이담,55%,"국내산 쌀, 국내산 배","이담(梨 )은 국내산 쌀과 배를 이용하여 정성스레 담가 증류하여 장기간 숙성한 55도의 고도주이다. 배의 향과 맛을 느낄 수 있으며, 자칫 날카로워질 수 있는 고도주의 풍미를 부드럽게 감싸주고, 한결 은은하면서도 그윽이 퍼지는 배의 향으로 고도주의 증류주를 편안히 즐길 수 있다.",꽃등심구이고기의 결이 부드럽고 연한 꽃등심구이는 맛이 담백하고 고소한데 고도주인 이담의 날카로운 첫맛을 부드럽게 해주고 음식에 양념이 없으므로 이담 본연의 술맛을 즐기기에 좋은 음식이다.,경기도 화성시 정남면 서봉로 835
리큐르/기타주류,허니와인,8%,국내산 벌꿀,"북유럽과 그리스 신화의 신들은 영생의 음료로 꿀을 발효시켜 빚은 허니와인 미드를 마셨다고 한다. 허니와인 미드는 최음효과와 정력, 다산력을 증진시킨다고 여겨져 결혼식을 마친 부부가 한 달 동안 매일 마셨다고 한다. 허니와인은 양평의 맑은 물과 양봉 농가가 직접 채취한 100% 국내산벌꿀로만 빚은 술로 어떤 첨가제나 향신료도 첨가하지 않아 은은하게 꿀향이 살아있고 부드럽게 넘어가며 뒷맛의 여운이 오래간다. 8%의 스위트와인이라 술을 잘하지 못하는 이들도 비교적 부담이 적다. 식사 전 식전주로 마시면 음식의 맛을 살려주고, 후식으로 마시면 음식의 잡냄새를 없애줄 뿐만 아니라 입안에 풍부한 꿀 향까지 돌아 달콤한 향의 여운이 마음까지 행복하게 만든다.","해물파스타, 베이컨 버섯말이  각종 해물과 다양한야채로 만드는 해물파스타는 허니와인의 맛을 살려주는 술안주로 제격이다. 베이컨위에 버섯을 올려 돌돌 말아 구워낸 베이컨버섯말이 역시 어울리며 허니와인을 시원하게 마시면 더욱 풍미가 좋다.",경기도 양평군 강하면 왕창부로길 110
리큐르/기타주류,SSOA-포도,5%,국내산 포도,포도주를 이용한 특유한 스파클링와인으로서 우수한 포천포도를 와인으로 제조하여 뛰어난 맛과 향을 느낄 수 있으며 탄산의 시원함을 동시에 느낄 수 있고 목넘김이 아주 좋은 것이 특징이다.,"피자, 치킨남녀노소 누구나 할 것 없이 좋아하는 대표음식인 피자와 치킨에 SSOA-포도를 겸하면 톡 쏘는 탄산과 스파클링의 조화가 아주 잘 어울리며 자칫 느끼할 수 있는 피자, 치킨의 기름진 맛을 포도의 상큼함이 깔끔하게 만들어 준다.",경기 포천시 화현면 화동로 432번길 12
리큐르/기타주류,나 와인,10%,국내산 찹쌀 100%,"나와인은 비타민E가 풍부해서 항산화작용이 있으며 국내산찹쌀 100%와 지하암반수를 사용하여 무살균, 무첨가, 무방부로 제조한다. 찹쌀의 영양소가 그대로 살아 숨 쉬는 발효주로 최초 발명특허 등록된 효소를 제조공정에 응용함으로써 자연탄산이 생성되어 목 넘김이 부드럽고 맛이 상쾌하다.","주꾸미 참나물무침  끓는 물에 데친 주꾸미와 참나물을 새콤달콤하게 무치면 향긋하고 쌉싸름한 주꾸미참나물무침이 된다. 나물의 고유한 맛도 살리고, 주꾸미로 단백질도 보충할 수 있으며 나와인의 청량감으로 맛도 살릴 수 있다.",경북 문경시 영순면 영순로 645
리큐르/기타주류,라이코펜 토마토와인,12%,국내산 토마토,"대구시 달성군은 예로부터 토마토생산지로 유명하며 토마토는 장기보관이 어려워 홍수출하로 가격이 폭락하여 농민들이 큰 피해를 보는 경우가 많은데, 이에 농촌진흥청과 대구시, 달성군농업기술센터와 계명대식품공학과가 협력하여 세계최초로 토마토와인을 생산하여 특허출원하였다. 신의 선물이라 불리는 토마토와 신의 물방울인 와인의 만남으로 더욱 특별하며 대구달성군에서 생산된 100% 토마토과육을 분쇄· 발효· 숙성시켜 토마토고유의 맛과 풍미가 살아 있다. 달콤하고 부드러운 스위트타입과 쌉쌀한 맛의 드라이타입이 있다.","골뱅이의 쫄깃한 식감과 매콤새콤한 맛이 토마토와인의풍미를올려주며,토마토고유의진한향이길게여운을남겨입안을깔끔하게해준다.",
리큐르/기타주류,불소곡주,43%,"찹쌀, 국내산 멥쌀","백제의 1500년 전통이 깃든 한산소곡주는 찹쌀과 누룩을 주원료로 들국화, 메주콩, 생강, 홍고추 등의 웰빙원료의 오묘한 조화 속에 100일간 숙성 후 이를 증류하여 고도주로 빚어내 오래두고 마실 수 있게 한술이다.","수육  삶은 돼지고기는 기름기가 빠져 담백하게 먹을 수 있고, 소곡주의 깊은 맛의 여운을 즐기기에 좋다",충남 서천군 한산면 충절로 1118
리큐르/기타주류,한비오가피술골드,35%,"국내산 쌀, 국내산 오가피",전통방법으로 국내산 쌀 100%를 발효시켜 감압증류방식으로 증류·탈취·탈색·여과하고 GAP인증을 받은 국내산 오가피를 침출시켜 리큐르주를 만들고 저장 및 발효시켜 생산한다. 순하고 부드러운 우리 고유의 참맛을 즐길 수 있는 술이다.,참치회 새싹채소무침  참치회를 새싹채소와 함께 초고추장에 버무려 새콤달콤하게 만들어 먹으면 오가피술골드의 순하고 부드러운 맛을 한층 돋보이게 해준다.,충북 제천시 봉양읍 원박리 276
리큐르/기타주류,송화백일주,38%,"송화, 솔잎, 산수유, 오미자, 구기자","솔향이 풍부하며 입안에 풍미가 뛰어나고, 여운이 은은하게 오래도록 유지된다. 송화, 솔잎, 산수유, 오미자, 구기자 등의 천연재료를 사용하여 장기 숙성 후 출시한다. 솔향이 안정적으로 잘 잡혀있으며 장미향수가 장미향보다 더 진한 것처럼 송화백일주의 향은 솔향보다 더 짙다.",취나물  취나물은 알칼리성식품으로 나트륨을 배출하는 작용을 하여 몸속에 나트륨을 조절해주는 역할도 한다. 입안에 은은하게 퍼지는 송화백일주 한잔에 나물안주의 소박함이 정겹다.,전북 완주군 구이면 구이로 1096
리큐르/기타주류,"진도홍주 아라리35%, 루비콘40%","35%  
							 
								 40%","국내산 쌀, 국내산 지초","홍국으로 제조된 원나라의 홍주가 우리나라에 전해진 이후 고려시대 말부터 국내에서 제조되어 홍노라고 했으며, 홍국대신 지초를 사용한 홍색가향약용주인 지초주(芝草酒)에서 유래하였다. 1200년 전통의 순곡민속주이자 진도군수 인증제품인 진도홍주는 진도의 3보(진돗개, 구기자, 미역), 3락(진도홍주, 민요, 서화)중 하나로 쌀과 산삼에 버금가는 약효를 가진 야생지초와 만나 미(味), 향(香), 색(色)을 고루 갖춘 고품격명주이다. 보리와 쌀, 누룩이 갖는 향과 맛을 최대한 살린 원주에 지초를 적당량 용출하여 아름다운 붉은색과 독특한 향, 색다른 맛을 보여준다.","채소스틱, 돼지고기 샤브샤브  채소는 된장에 땅콩버터와 마요네즈, 올리고당을 넣어 만든 소스에 찍어 먹으면 의외로 잘 어울린다. 돼지고기 샤브샤브는 돼지고기 안심을 얇게 준비해 데친 뒤 찬물에 넣어 식혀서 먹는 음식으로 감칠맛 나는 안주에 진도홍주의 향과 맛을 깔끔하게 느낄 수 있어서 좋다.",전남 진도군 군내면 둔전리 98
리큐르/기타주류,담솔,40%,"백미(함양산) 90%, 솔잎·송순(함양산) 10%",조선시대 성리학의 대가이며 동방오현의 하나인 문헌공 일두 정여창선생의 집안에서 530여 년 동안 내려오는 사대부집안의 전통명주로서 그동안 문중의 경조사와 가객접대용으로 사용된 것을 현대적 양조기술로 재탄생 시켰다. 담솔은 저온 숙성시켜 그 부드러움과 감미로움을 이끌어낸 뒤 꿀로 뒷맛을 잡아낸 고급증류주이다. 40도의 고도주임에도 목 넘김이 굉장히 부드러우며 시원하게 마셔야 제대로 된맛을 느낄 수 있다.,"삼겹살 구이, 돼지양념 단호박찜  돼지양념단호박찜은 양념한 돼지고기를 익힌 후 속을 파낸 단호박에 넣고 찜솥에서 찌는 음식인데 삼겹살구이 등 고기 한 점을 먹고 담솔 한잔을 머금으면 솔향기와 담솔의 쌉싸름 한끝 맛에 의해 고기의 텁텁함이 사라진다.",경남 함양군 지곡면 지곡창촌길3
리큐르/기타주류,매실원주 허니,"13%  
							 
								 15%  
							 
								 20%","국내산 황매  80%, 청매20%","한씨 집안에서 선대로부터 내려오는 황매실에 천연꿀을 가미하여 담근 전통매실주로 매실원주는 보다 완숙한 상태에서 7월경 수확되는 황매를 이용한다. 황매는 청매에 비하여 고가인 단점이 있으나 향미가 뛰어나 최상의 원료로 최상의 제품을 만든다는 제품철학으로 황매를 이용하고 있다. (황매80%,청매20%) 매실주는 자체당분만으로 양조가 어려운 과실이기에 인위적으로 당을 첨가하여 양조하여 리큐르로 제조한다. 좋은 술을 만들겠다는 고집으로 1년 이상 숙성한 100% 매실주원액만을 사용하고 설탕대신 제주도산 천연꿀을 가미하여 다른 매실주에서 느낄 수 없는 매실 본연의 진한 풍미를 느낄 수 있다.",수육  매실원주 허니 특유의 매실향이 강하고 깔끔해 수육의 누린내를 제거해주며 매실이 수육의 소화를 돕기 때문에 서로 잘 어울린다.,서울시 은평구 증산로7길 28-13
리큐르/기타주류,산삼가득 명술,20%,"국내산 주정, 국내산 산양산삼 5년근","경기도 농업기술원과 대농바이오영농조합법인(우리산삼)이 공동 개발한 술로 5년근 국내산산양산삼을 그대로 숙성시켜 잎과 뿌리가 달린 한 채가 통째로 병에 들어 있다. 산양산삼의 그윽한 향과 맛, 마이크로웨이브 특허기술을 적용하여 사포닌함량이 증진된 고급 산양산삼주이다.",생선전  산삼가득주를 마실 때 생선회를 자극성이 강한 야채와 함께 쌈으로 먹는 것이 아니라 고추냉이와 함께 깔끔하게 먹으면 그윽한 산삼의 향과 부드러운 목 넘김을 잘 느낄 수 있다.,경기도 광주시 퇴촌면 천진암로 684
리큐르/기타주류,오매락퍽,40%,국내산 배증류원액,‘오매락’은 매실을 뜻하는 ‘오매’와 증류주를 의미하는 ‘아락’의 합성어다. 최고의 맛과 품질을 위해 꿀배로 유명한 전라남도 나주배 증류원액과 청매실로 빚어 황토로 구운 토기 안에 담아 만든 프리미엄전통주다. 내장된 나무망치로 토기를 깨뜨려 술을 꺼내는 참신하고 독특한 디자인이 특징이다. 토기를 깨는 것은 새로운 시작과 성장을 축하하는 의미를 담아냈다. 토기를 깨는 순간의 유쾌한 소리와 손맛은 특별한 날에 어울리는 색 다른 즐거움을 선사한다. 오매락퍽은 언더락스로 마시면 더욱 좋다.,"닭고기  오매락퍽속에 함유된 매실은 다양한 유기산을 함유해 닭고기와 같은 고단백, 고열량음식과 먹으면 배탈을 예방하고 소화에도 도움이 된다.",경기도 포천시 화현면 화현리 512
리큐르/기타주류,원매 프리미엄,20%,국내산 황매실,원매프리미엄은 보다 완숙한 상태에서 7월경 수확되는 황매 100%를 이용한다. 황매는 청매에 비하여 고가인 단점이 있으나 향미가 뛰어나 최상의 원료로 최상의 제품을 만든다는 제품철학으로 황매를 이용하고 있다. 매실주는 자체 당분만으로 양조가 어려운 과실이기에 인위적으로 당을 첨가하여 양조하여 리큐르로 만들어진다. 좋은 술을 만들겠다는 고집으로 1년 이상 숙성한 100% 매실주원액만을 사용하고 설탕대신 제주도산 천연꿀을 가미하여 다른 매실주에서 느낄 수 없는 매실본연의 진한 풍미를 느낄 수 있다.,"생선회, 초밥  생선회는 단백질식품이므로 전분식품보다 술에 취하는 정도를 완화시키고 다음날 숙취를 줄이는 효과가 있다. 매실본연의 향과 진한풍미가 생선의 비린 냄새를 제거해주어 생선회에 잘 어울린다.",서울시 은평구 증산로7길 28-13
리큐르/기타주류,배도가 심플리 애플,12%,"정제수, 사과즙(국산), 쌀(국산), 벌꿀(국산), 천연향료(사과향), 구연산, 국, 효모, 비타민C, 밀함유",소주 특유의 향미에 신선한 사과즙의 싱싱함과 상큼함을 벌꿀의 달콤함으로 감싸 안은 제품으로 고도주의 소주가 부담스러운 분들도 편안하게 즐기실 수 있도록 시중에서 판매되는 대부분의 와인들과 같은 도수인 12도로 개발한 술이다.,"광어회, 냉채족발, 참소라",경기도 화성시 정남면 서봉로 835
리큐르/기타주류,볼빨간미자,16%,"물, 주정, 정백당, 오미자(국내산)",아름다운 붉은 빛깔로 한 모금 마셨을때 퍼지는 오미자향과 맛이 일품이다. 5가지 맛의 국내산 오미자를 그대로 담아낸 프리미엄 리큐르이다.,,경기도 용인시 처인구 양지면 죽양대로 2298-1
리큐르/기타주류,인어교주해적술,15%,"정제수, 증류원액(쌀, 국내산), 포도당, 포도과육(국내산), 효소처리스테비아, 포도향(합성향료), 구연산(산도조절제), 진주빛색소, 식용색소청색 제 1호(착색료), 이산화탄소","신선한 포도의 새콤한 신맛과 달달함이 톡! 쏘는 탄산과 어우러져 바다의 청량함을 느낄 수 있는 리큐르주이다. 홈술이나 홈파티, 홈바로 가볍게 즐기기 좋으며, 소중한 기념일이나 특별한 날을 위한 이벤트주로도 아주 좋다.","가벼운 안주류(치즈,견과류, 샐러드 등), 기름진 음식(피자, 파스타, 스테이크 등)",경북 영덕군 강구면 소월1길 16-10
리큐르/기타주류,뱁새,23%,"쌀, 찹쌀, 모싯잎, 생강, 구절초","프리미엄 소주 ‘뱁새’는 이쁜꽃양조장과 옥순가 양조장이 함께 만든, 기존 출시했던 16도 약주 ‘황새’를 증류한 하이볼 전용 소주다. 입안을 쪼이는 응축된 맛이 나고, 탄산수에 풀어 맛을 펼치면 달지 않은 식혜와 몸을 은근히 달아오르게 만드는 생강, 솔잎 향으로 마무리된다.",고기와 기름진 음식과 잘 어울린다.,서울시 중구 퇴계로197 충무빌딩 206호
리큐르/기타주류,행복한 상상 쵸코맛,15%,"정제수, 정수, 사과(국내산), 복숭아(국내산), 포도과육,(국내산), 카카오","전통주에서 흠히 느껴보실 수 있는 과실주와는 달리 지금까지 느껴본적없는 초코의맛이 나는 전통주, 달달하면서 부드러운 맛에 초코라는 호불호 없는 제료로 빚은 세련된 우리 전통주이다.","케이크, 스무디 같은 달달한 디져트와 곁들으면 잘 어울린다.",경북 영덕군 강구면 소월1길 16-10
리큐르/기타주류,밀담40,40%,"단수수(국내산)증류원액, 정제수",국내 청정지역에서 재배한 국내산 단수수대를 착즙하여 발효 및 세 번 증류 등의 공정을 거쳐 탄생한 단수수 증류주이다. 단수수 특유의 단향은 은은하게 발현하며 맑은 빛깔처럼 뒤끝 없이 깔끔한 맛을 내는 것이 특징이다.,"육류 등 기름진 음식과 강한 양념을 사용한 음식에 더해 마시면 강한 양념과 기름을 깔끔하게 씻겨주어 궁합이 좋다. 가볍게는 초콜릿, 마카롱 등 디저트와도 잘 어울리며, 하이볼로 즐긴다면 흑돼지 삼겹살, 항정살 구이, 갈비찜 등과 잘 어울린다.",경북 예천군 용문면 복천길 16-8
리큐르/기타주류,여유25,25%,"증류원액(쌀 국내산 100%), 정제수","양촌 여유 소주는 1956년, 양촌양조장에서 ‘송광소주’으로 출시했던 전통 방식의 소주를 시대에 맞게 복원한 프리미엄 증류식 전통 소주이다. 부드러운 쌀 향미가 매력적이며, 타격감 있는 목 넘김이 있다. 알콜 향과 부드러운 쌀 향이 어우러져 알싸하면서도 고소한 맛이 취향적이다.","다양한 육류 및 해산물과의 조합도 잘 어울리겠지만, 강경과 가까운 지역인 만큼 다양한 젓갈류가 잘 어울린다.",충남 논산시 양촌면 매죽헌로 1665번길 14-7
리큐르/기타주류,일오백골드,43%,"찹쌀(국내산), 백미(국내산), 누룩(밀:국내산), 정제수, 꿀, 들국화, 생지황, 메주콩, 홍고추","일오백 골드는 오랜 숙성을 거쳐 1500년 비법의 전통방식으로 증류한 술이다. 천연수와 찹쌀, 누룩, 백미 등 충남의 신선한 재료를 사용했다. 깊은 풍미와 밸런스가 좋으며, 세련되고 분위기 있는 자리에 어울리는 술이다. 목넘김과 깊은 향 그리고 은은한 맛은 최상의 경험을 느낄 수 있다.","파전, 회, 치즈와 어울린다.",충남 서천군 한산면 충절로 1118
리큐르/기타주류,일오백블루,43%,"찹쌀(국내산), 백미(국내산), 누룩(밀:국내산), 정제수, 꿀, 들국화, 생지황, 메주콩, 생강, 홍고추",일오백 블루는 전통방식으로 증류한 일오백 골드를 한번 더 오크통에 숙성시킨 고급 증류주로서 은은한 갈색 빛과 어우러진 깊은 향은 소중한 이에게 더욱 특별한 선물이 될 수 있다. 인공적인 알콜향이 적고 부드러운 향과 단 맛이 풍부한 좋은 술이다.,"파전, 회, 치즈와 어울린다.",충남 서천군 한산면 충절로 1118
리큐르/기타주류,독산 30,30%,"정제수, 쌀(국내산), 누룩, 정제효소제, 효모","오산의 독산성 세마대지(국가사적 제 140호)에서 이름을 따 온 오산의 대표 증류주로 상압방식으로 증류하여 쌀소주의 풍미를 잘 살린 술이다. 구수하면서도 알싸한 향과, 깔끔한 목넘김이 매력적인 소주이다. G마크 인증을 받은 오산지역 특산품인 세마쌀을 100% 사용하며 일체의 합성첨가물이 없이 제조하며, 옹기 숙성과 냉동여과 방식으로 만들어내며 2019년 오산시 승격 30주년 기념의 해를 맞이해서 알코올 30%로 만들어진 지역대표 프리미엄 증류주이다.","가볍게는 초콜릿이나 과일안주와 좋고, 깐풍기, 양갈비나 곱창구이, 삽겹살, 족발 등과도 잘 어우러진다. 신선한 해산물과도 궁합이 좋다.",경기도 오산시 중앙동 시장길 63
리큐르/기타주류,청혼 레드25,25%,"경기미(용인백옥쌀), 경기미(보리), 밀누룩, 국, 효모","청혼 레드25는 제이앤제이 브루어리에서 만드는 청혼 시리즈 4종중 증류식소주이다. 곡물향, 은은한 단맛, 매우 부드러운 목넘김 후에 증류식소주 특징인 여운이 남는 보리 증류식소주이다. 매년 한정으로 생산한다.않은 자연스러운 단맛이 깔끔하게 느껴진다.","죽순, 표고버섯, 구기자를 넣고 끓인 삼취갱과 잘 어울린다. 개인차는 있겠지만 해산물, 고기류, 기름진 음식 등 어떤 음식과도 잘 어울릴 듯 하다.",경기도 용인시 처인구 양지면 남평로 114
리큐르/기타주류,북한강25,25%,"쌀(화천군), 누룩(국내산), 효모(토종), 정제수 [밀(곡류)함유]","북한강 맑은 물로 화천농부가 재배한 맛있는 갓 도정한 맛있는햅쌀, 누룩, 토종효모로만 만든 전통방식 막걸리를 걸러 약주로 오랜 장기간 저온 숙성 후 국내에서 제작한 상압방식 동 증류기로 한 방울 한 방울 모아 증류한 전통 증류식 소주로 장기간 일정한 저온으로 숙성해 상압방식의 특유한 향과 맛이 일품이다.","하이볼 및 칵테일로도 충분히 즐길 수 있다. 쏘가리, 메기, 빠가사리 등 민물고기 매운탕과 잘 어울린다.",강원도 화천군 하남면 공단길18
리큐르/기타주류,이강주,19%,"쌀, 소맥분, 정맥, 배, 생강, 계피, 울금, 꿀","이강주에서 느껴지는 배의 묵직함과 생강의 향긋함 그리고 꿀의 달콤함은 각각 다른 도수에서 다르게 느껴져 마실 때마다 새롭게 느껴지는 술이다. 또한, 쌀과 누룩 계피 생강 그리고 꿀로 만들어지는 이강주는 하나의 발효 통에 모든 재료를 다 넣고 발효를 시키는 것이 아니라 원료를 따로 넣어 발효한다. 계절과 시기에 따라 그 원물의 맛이 다르기에 따로 관리하면서 맛과 향을 맞추고 분석한다.","전통주 입문자가 즐기기에도 거부감이 지극히 적은 스타일. 닭볶음탕, 양념치킨, 배를 넣은 소불고기 및 소고기 전골 등 추천한다.",전주시 덕진구 매암길 28
리큐르/기타주류,고소리술,"29%  
							 
								 40%","쌀, 차조, 입국, 누룩, 효모, 효소, 정제수, 스테비올 배당체",제주도 최초의 쌀과 차조로 만든 40도의 곡물 원료의 증류식 소주이다. 견과류와 같은 고소한 향이 살짝 풍기면서 후미까지 여운이 이어진다. 그을린 견과류 향을 연상케하며 탄내 섞인 견과류의 구수함이 느껴진다.,"차게 얼려 마시면 그라빠와 같은 풍미를 느낄 수도 있다. 생선회, 해산물 등과 잘 어울린다.",제주 제주시 애월읍 애원로 283
리큐르/기타주류,진도대복홍주 진 22호,60%,"검정찹쌀(국내산),지초(국내산)",홍주는 조선시대 진상품으로 꼽힐 만큼 그 붉은 빛깔과 향이 감미로운 술입니다. 애주가들에게 인정받으며 그 명맥을 유지하고 있는 전통 명주입니다.,,전남 진도군 의신면 진도대로 2662-4
리큐르/기타주류,블링블링 바다별,15%,"정제수,사과(국내산100%),증류원액,정백당,효소처리스테비아,사과향(천연향료),구연산(산도조절제),진주빛색소,식용색소청색 제1호(착색료)","블링블링 바다별은 사과의 신맛과 달콤함이 어우러져 청량한 맛을 느낄 수 있으며, 아름다운 펄과 함께 마치 오로라를 연상시키는 리큐르입니다.","파스타,피자,샐러드 등과 잘 어울리며, 치즈 및 견과류의 간단한 안주류와 합께 드셔도 좋습니다.",경북 영덕군 강구면 소월1길 16-10
리큐르/기타주류,어린 꿀술,11.8%,"정제수, 꿀, 효모, 메타중아황산칼륨",꿀이 아닌 [꿀술]에서만 느낄 수 있는 상큼하고 색다른 맛과 향을 만날 수 있을 겁니다.,"식전주로 즐기셔도 좋고,올리브나 크래커 같은 간단한 와인 안주와도 잘 맞습니다.",서울특별시 관악구 신원로3가길 21 지층 (우 : 08774)
리큐르/기타주류,홀리 엠,37%,"오미자청, 정제수, 주정",직접 재배한 메밀을 이양주 방식으로 빚어낸 메밀증류주입니다.,"탕요리, 닭요리",강원도 홍천군 내촌면 용포길 31-25 (우 : 25163)
리큐르/기타주류,오매락 25,25%,"배증류원액(배81.07%), 매실(국내산), 오매(국내산0.01%)",기존 오매락에서 느낄 수 있는 배와 매실의 진한 맛과 향은 그대로 유지하면서 알콜도수를 낮추었습니다.,치즈,경기도 포천시 화현면 화현리 512
리큐르/기타주류,블링블링 바다별고래,15%,"포도, 정제수, 효소처리스테비아, 증류원액",바다별고래는 엄선하여 재배된 100% 국내산 포도를 사용하여 정성을 담아 탄생한 전통주입니다.,"치즈, 파스타, 피자, 샐러드.",경상북도 영덕군 강구면 소월1길 16-10 (우 : 36450)
리큐르/기타주류,도원결의,15%,"정제수, 증류원액, 복숭아, 복숭아향, 포도당, 효소처리스테비아","천연 복숭아 그대로를 첨가하여 빚어낸 부드러운 목 넘김과 과하지 않은 단맛, 상큼함의 조화가 돋보이는 리큐르입니다.","헤비한 음식보단 가벼운 과일 안주, 달달한 스낵, 크래커",경북 영덕군 강구면 소월1길 16-10
리큐르/기타주류,드랍더비트,14%,"정제수, 포도당, 레드비트, 효모",제주 레드비트는 서양 채소 4총사 중 하나로 내륙보다 따뜻한 기온과 바다에서 불어오는 해풍을 이겨내며제주에서 재배된 작물입니다.이러한 레드비트와 제주에서만 나오는 제주 붉은 누룩을 사용해 빚어 낸 전통주로써 붉은 색감과 깔끔한 뒷맛이 매력적인 건강함을 한껏 머금은 발효주입니다.,"견과류,불닭,양념치킨,돼지고기 두루치기",제주특별자치도 제주시 한경면 고산로2길 22-13
리큐르/기타주류,ULSSIGO 얼씨고,30%,"정제수, 주정, 헛개나무열매, 키위열매, 천연향료, 구연산(무수), 효소처리스테비아, 올리고당","얼씨고는 100% 천연 재료만 사용하여 만든 한국식 리큐르입니다.
3번 정제를 통해 목 넘김이 부드러워 특유의 맛과 향을 은은하게 즐길 수
있으며, 헛개열매와 상큼한 키위와 레몬이 만나 첫 맛음 상큼하게 시작해
다채로운 풍미로 이어지는 즐거움을 전달합니다.","피자, 파스타, 스테이크 등 파티음식, 육류, 해산물 등 각종 다양한 음식에 감칠맛을 더해줍니다.",전남 장흥군 장동면 석교상방이길 165
리큐르/기타주류,비왈츠 로지,8%,"벌꿀(국산), 유기농건조장미잎(국산), 정제수, 효모, 효모영양제, 구연산","비왈츠 로지는 국내 최초로 만들어진 로도멜(미드+장미 꽃잎)입니다.
춘천에서 양봉한 아카시아 벌꿀과 유기농 장미가 들어가 싱그럽고 달콤한 맛을 극대화했습니다.","카프레제 샐러드,문어 샐러드, 스테이크 타르타르, 크루아상",강원도 춘천시 소양고개길 6 미더리봉자 (우 : 24272)
