술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식,술 생산 지역
과실주,다래와인 3004,8%,참다래,"다래와인은 20℃를 넘지 않는 저온발효를 통해서 숙취의 주범인 메탄올과 아세트 알데이드를 줄이고 최고의 와인을 빚고 있다. 참다래에 풍부한 유기산, 스트르산 등의 특유의 상큼함이 고스란히 와인에 녹아 멋진 밸런스를 갖추고 있다. 또한 참다래 특유의 과일향이 어우러진 아로마와 저온발효와 저온숙성을 통해 생성되는 휘발성 에스테르가 훌륭한 부케를 형성하여 황금빛 와인에 풍미를 더하고 있다. 다래와인 3004는 2015년 대한민국 우리술품평회 과실주 부문에서 장려상을 수상한 제품으로 알코올 도수 8%로 부담없이 즐길 수 있는 제품이다.",진한 황색 빛깔의 술로 푹 익은 다래에서 나는 진한 과실향이 올라온다. 입에 넣으면 점도 있으면서 묵직하게 입 안 전체를 채우고 단맛과 신맛의 조화가 잘 갖춰져 있다. 목넘김이 매우 부드럽고 먹고 난 후에 잡맛이 없이 깔끔하다. 소고기 구이와 잘 어울린다.,경상남도 사천시 미룡길 31-20
과실주,내장산 복분자주 지통1호,16%,"복분자, 주정, 정제수, 설탕 등","내장산은 단풍으로 수려한 장관을 펼쳐놓기로 유명한 지역이지만, 내장산의 복분자역시 뒤쳐지지 않을 만큼 붉기로 유명하다. 이 내장산에서 오직 복분자로 승부하는 과실주를 생산하는 내장산 복분자 영농조합의 한국형 와인 내장산복분자주 지통1호. ""복분자"" 전문가로써, 전통적인 가양주 비법과 양조기법을 병행하여 한국형 와인의 입지를 다지고 있는 곳에서 제조된 술이다. 내장산복분자영농조합에서는 청정의 자연을 자랑하는 내장산 일대에서 재배하는 복분자만을 엄선하여 술을 빚고 있으며, 복분자의 특징을 최대한 살려서 한국형와인을 생산하고 있다. 복분자의 전문가들 답게 오직 복분자로 승부를 보는 그들의 방식에서 그 술 맛을 짐작할 수 있다.",산뜻하게 올라오는 달콤한 과실향이 좋고 단맛은 적으나 적절한 산미와 쓴맛이 있고 아주 약한 타닌이 입안을 자극시킨다. 소고기와 잘 어울린다.,전북 정읍시 북면 장학 1길
과실주,남산애 포트와인,18.5%,"포도(캠벨얼리, MBA, 산머루)","수제와인을 생산하고 있는 예인화원에서는 자연 그대로의 맛을 전달하고자 포도 100%로만 와인을 빚고 있다. 알코올 도수는 18.5도이며 짙은 루비색을 띈다. 블랙베리향, 검은 과실향, 오리엔탈 스파이스의 미디엄 바디로 부드럽고 감칠맛이 있으며, 우아하고 긴 여운이 인상적인 와인이다. 진한 포도의 맛과 향이 그대로 농축돼 있는 와인이다. 조금은 탁하지만 포도의 원액을 그대로 느낄 수 있는 색을 가지고 있으며, 시트러스 계열의 상큼한 산미가 뒤따라 온다. 단맛은 적지만, 목 넘김에서 올라오는 포도향이 기분을 좋게 한다.","긴 후미는 아니지만, 경쾌하고 자연스러운 한국와인 특유의 신선함이 살아있다. 시트러스 계열의 상큼 맛이 좋은 만큼 입맛을 돋우는 식전주로 추천한다.",경북 경주시 남산순환로 10
과실주,남산애 레드와인,14%,"포도(캠벨얼리, MBA, 산머루)","자연주의 수제 와인을 생산하고 있는 예인화원에서는 자연 그대로의 맛을 전달하고자 포도 100%로만 와인을 빚고 있다. 알코올 도수는 14도이며 짙은 루비색을 띈다. 블랙베리향, 검은 과실향, 오리엔탈 스파이스의 미디엄 바디로 부드럽고 감칠맛이 있으며, 우아하고 긴 여운이 인상적인 와인이다. 진한 포도의 맛과 향이 그대로 농축돼있는 와인이다. 조금은 탁하지만 포도의 원액을 그대로 느낄 수 있는 색을 가지고 있으며, 시트러스 계열의 상큼한 산미가 뒤따라 온다. 단맛은 적지만, 목 넘김에서 올라오는 포도향이 기분을 좋게 한다.","긴 후미는 아니지만, 경쾌하고 자연스러운 한국와인 특유의 신선함이 살아있다. 시트러스 계열의 상큼 맛이 좋은 만큼 입맛을 돋우는 식전주로 추천한다.",경북 경주시 남산순환로 10
과실주,그랑티그르 M1988,12%,"캠벨얼리 포도, 오미자","""그랑티그르M1988와인""은 제조사 ""월류원""에서 생산하는 최고등급의 와인이다. 당분을 추가하지 않는 순수포도발효를 원칙으로 탄생한 이 와인은 지금까지 캠벨이 가지고 있는 탄닌감의 부재, 부정적 폭시플레버향, 낮은 당도를 극복한 한국형 스틸와인이다. 무가당원칙으로도 12%라는 높은 알코올을 만들 수 있었던 방법은 주류면허지원센터의 ""포도 머스트를 동결 후 해동 처리하는 농축 과실주 제조방법""(특허등록 제 10-1043585호)을 이용하여 캠벨의 단점을 모두 제거하였기 때문이다. 여기에 오미자를 브랜딩하여 제조사 월류원만의 독창적인 한국와인의 맛을 완성하였다.","캠벨포도 특유의 맑고 청아한 색을 가지고 있는 와인이다. 다섯 가지 맛을 자아내는 오미자가 들어가 매우 독특한 끝 맛이 난다. 단맛은 적지만, 특유의 향과 잔잔한 물결과 같은 목 넘김을 가지고 있다. 탄닌감이 적어서 진한 육류보다는 산채 한정식과 같은 다양한 나물 요리가 잘 어울릴 것이다.",충북 영동군 황간면 남성동3길 4-14
과실주,그랑티그르 CE2002,12%,캠벨얼리 포도,"""그랑티그르CE2002와인""은 제조사 ""월류원""에서 생산하는 최고등급의 와인이다. 당분을 추가하지 않는 순수포도발효를 원칙으로 탄생한 이 와인은 지금까지 캠벨이 가지고 있는 탄닌감의 부재, 부정적 폭시플레버향, 낮은 당도를 극복한 한국형 스틸와인이다. 무가당원칙으로도 12%라는 높은 알코올을 만들 수 있었던 방법은 주류면허지원센터의 ""포도 머스트를 동결 후 해동 처리하는 농축 과실주 제조방법""(특허등록 제 10-1043585호)을 이용하여 캠벨의 단점을 모두 제거하였기 때문이다. 출시와 동시에 와인품평회에서 좋은 성적을 거둠과 동시에 소비자에게도 호응을 받고 있는 제품이다.","캠벨포도 특유의 맑고 청아한 색을 가지고 있는 와인이다. 단맛은 적지만, 특유의 향과 잔잔한 물결과 같은 목 넘김을 가지고 있다. 탄닌감이 적어서 진한 육류보다는 산채 한정식과 같은 다양한 나물 요리가 잘 어울릴 것이다.",충북 영동군 황간면 남성동3길 4-14
과실주,레돔 시드르,6%,사과,"은은한 사과향이 묻어나오는 스파클링 사과와인으로, 제조시 설탕이나 효모를 넣지 않고 과일 자연 그대로의 효모로 발효시킨다. 야생효모들이 천천히 발효하며 천연탄산과 사과껍질의 향의 독특함을 만들어낸다. 인위적인 모든 것을 빼고 자연이 주는 그대로의 사과 와인을 느낄 수 있다. 가벼운 바디감과 천연 기포의 청량감이 뛰어나며, 신맛과 단맛 역시 조화롭다.","훈제연어 부르게스타, 돼지고기, 피자, 샐러드, 스파게티와 잘 어울린다.",충북 충주시 엄정면 도자기길 32
과실주,오드린 베베마루 아내를 위한,10%,캠벨얼리 포도,"이름 그대로 남편이 아내를 위해 만든 와인으로, 영동 월류봉 자락에서 3대째 재배중인 토착 품종 &quot;캠벨얼리&quot;를 숙성하여 만들었다. 체리와 딸기, 장미, 허브향 등의 향이 풍부하게 느껴지며 후미에 민트향이 깔끔한 맛을 준다. 시그니쳐기술을 이용해 알콜도수를 10도로 낮추고 포도의 풍미는 극대화하여 당도, 탄닌, 바디감이 균형을 이룬다.","양념치킨, 양념불고기와 잘 어울린다.",충북 영동군 황간면 남성동3길 4-14
과실주,오미로제 연,8%,오미자,"친환경 오미자를 샤르망 방식으로 만든 천연탄산의 오미자 스파클링 와인이다. 오미자, 복숭아, 라일락의 꽃향이 풍부하게 느껴진다. 당도가 적고 산도가 높으며 가벼운 바디감을 지니고 있다. 분홍색을 띠고 섬세한 스파클링이 올라온다. 입 안에서 느껴지는 신선한 산미와 탄산의 터치가 조화를 이루는 깔끔한 와인이다.","피자 ,오리요리와 잘 어울린다.",경북 문경시 문경읍 새재로 609
과실주,시나브로 캠벨 드라이,12%,캠벨얼리,"시나브로 레드 드라이와인은 한국인이 식용으로 가장 선호하는 포도 품종인 캠벨얼리를 사용하여 만든 한국와인이다. 갬벨얼리로 향조하여 특유하고 풍부한 과일 향과 부드러움을 느낄 수 있는 드라이한 와인이다. 브랜드명 시나브로는 나도 모르는 사이 조금씩이라는 순우리말로 소비자가 시나브로 반하게 되는 매력적인 와인을 만들자는 와이너리의 소망을 담고 있다. 맑은 포도의 색 자체를 그대로 보여주며 이름 그대로 단맛이 적은 드라이한 맛을 그대로 가지고 있지만, 부드러운 목 넘김을 가지고 있어서 밸런스가 잘 맞는다.","후미는 길지 않지만, 오히려 이런 부분이 깔끔하게 떨어진다고 평하는 전문가도 있다. 아귀찜, 꽃게무침 등 다소 매운 맛이 있는 해산물과 즐긴다면, 매운맛을 균형 있게 잡아줄 것이라고 보인다.",충청북도 영동군 심천면 약목2길 23
과실주,시나브로 청수 화이트,12%,청수 100%,"시나브로 화이트는 우리나라 토종 청포도 품종인 ‘청수’를 수확해 정통 화이트와인 양조방식을 적용해 생산하는 술이다. 아름다운 골드빛을 가진 화이트 와인이다. 첫 향부터 밸런스가 잘 이뤄진 청포도향은 물론 사과향, 복숭아향까지 같이 느껴진다. 맛에서는 입맛을 자극하는 새콤함부터 마지막에 감미로운 느낌을 주는 달콤함과 타닌감 및 오크통에서 나오는 진한 맛보다는 좋은 청포도를 맑은 곳에서 잘 발효시켰다는 이미지다.","단맛이 다소 있지만, 산미가 좋아 식중주로도 가능하다. 다만 육류보다는 자극성이 적은 흰살생선을 추천하며, 이왕이면 고추장, 된장으로 요리된 것보다는 간장 베이스로 옅은 양념의 음식이 좋을 것이다.",충청북도 영동군 심천면 약목2길 23
과실주,산머루 크라테 로제,11.5%,산머루,"로제와인에 어울리는 색과 맛, 향을 가진 술이다. 스위트라고 하지만 단맛이 지나치게 강하지 않아 누구나 쉽게 즐길 수 있는 술이며 무겁지 않고 가볍게 한 잔 할 수 있는 와인이다. 첫 맛은 강하지만 여운이 길지 않고 깔끔하다. 약간 단맛이 있는 음식 또는 불고기와 잘 어울린다.",불고기와 페어링하면 좋다.,경상북도 김천시 증산면 금곡리 226-1번지
과실주,산머루 크라테 드라이,11.5%,산머루,"크라테 드라이는 맑은 공기, 청정환경에서 자란 유기농 산머루와 포도로 정성껏 빚은 한국와인이다. 산포도라고 불리는 산머루는 비록 포도 보다 열매는 작지만 당도가 높기 때문에 강한 향과 중후한 맛을 낸다. 맛과 신맛이 밸런스 있고 뒤에 올라오는 드라이함의 균형이 잘 갖춰진 술로 스테이크, 고기요리, 꼬치구이, 찜요리 등에 잘 어울린다.","스테이크, 꼬치구이, 찜요리와 어울린다.",경상북도 김천시 증산면 금곡리 226-1번지
과실주,요새로제,6.4%,"사과즙(국산), 오미자, 라즈베리차, 정제수, 효모, 사관산(산도조절제), 탄산가스, 메타중아황산칼륨(산화방지제)",인공색소나 착향료로 색과 향을 내지 않았다. 주 재료인 베리류의 산뜻함을 고스란히 담아 상큼하고 청량한 맛이 일품인 애플사이더다. 냉장보관 후 내용물이 잘 섞이게 흔들어 마시면 더 맛있게 즐길 수 있다.,"치킨, 파스타, 피자 등의 파티 음식와 잘 어울린다.","충북 충주시 중앙탑면 인담길 35-1 (사이더리, 탭룸)"
과실주,로제와인,12%,포도(국내산),"갈기산 포도 농원은 청수, 킹데라, 나이아가라 등 국내에서 많이 재배되지 않은 특징 있는 로제와인 품종을 재배하고 있다. 포도의 고장 영동에서 친환경 유기농법으로 재배한 켐벨포도로 만들었으며, 산미가 풍부하고 옅은 장미향이 느껴진다.","바질파스타, 부라타치즈 샐러드, 치즈류, 해물찜과 찰떡궁합이다.",충북 영동군 학산면 모리1길 23
과실주,산머루 크라테 스위트,11.5%,산머리(국내산),아시아 원산지 비티스 아무렌 시스계통의 산머루는 당도와 산도가 높은 품종으로 우리나라 포도를 대표하는 주요 레드 와인 품종이다. 오래 숙성할 수 있으며 향신료 향이 강하고 무거운 무게감을 느낄 수 있는 레드 와인이다.,"사과, 치즈, 크래커와 먹기 좋다.",경상북도 김천시 증산면 금곡리 226-1번지
과실주,심술 알쓰,3.8%,복분자,"심술알쓰는 과음하지 않는 젊은 세대의 음주문화를 반영해 실제 3.85도 낮은 알코올 도수로 주량이 약한 사람도 부담 없이 즐길 수 있다. 제품명으로 활용된 ""알쓰""라는 단어도 주량이 약한 사람들을 지칭하는 신조어를 재미있게 풀어냈다.",장어 또는 치즈와 어울린다.,경기도 포천시 화현면 화현리 512
과실주,혼디주,12%,"제주산감귤, 백설탕, 구연산, 무수아황산",감귤의 단맛과 신맛이 조화를 이루어 감칠맛이 뛰어난 혼디주는 감귤연구소에서 개발한 특허 효모를 사용해 발효시켰다. 누룩을 사용하지 않아서 특유의 누룩취가 없으며 달콤하고 산뜻한 과실향을 느낄 수 있다. 혼디주 한 병에는 감귤 세 개의 과즙이 함유되어 있으며 열을 가한 농축액이 아닌 신선한 주스를 사용한다.,"생선회, 구이 등 해산물류와 수육, 보쌈 등 육류와 잘 어울린다.",제주특별자치도 서귀포시 남원읍 신례천로 46
과실주,스파클링와인 오미로제 결,12%,오미자,"유기농 오미자를 3년이상 숙성하여 만들었으며, 향긋한 붉은 과일의 섬세한 버블이 코를 자극한다. 첫 맛은 새콤달콤하고, 뒤이어 다시 한번 향긋한 맛이 입안 전체를 감싼다. 목넘김과 함께 갈증이 사라지고, 긴 자연의 향기가 여운으로 남는다.","오미로제 스파클링 와인은 단맛, 신맛, 쓴맛이 조화된 스파클링의 참 맛을 낸다. 여기에 입맛을 돋우는 편육냉채가 어울린다.",경북 문경시 문경읍 새재로 609
과실주,샤토미소 랑,12%,청수,샤토미소 랑은 충북 옥천 포도연구소와 농촌진흥청에서 육종개발한 화이트와인 양조용 포도품종 청수를 원료로 만든 화이트와인이다. 청포도의 싱그러운 맛과 산미가 생생하게 살아 있으며 상큼한 청포도 향이 매혹적인 와인이다. 2018년 대한민국 주류대상 Best of Best상을 수상하고 같은 해 2018년 아시아 와인트로피 골드메달을 수상하며 권위 있는 주류품평회에서 맛과 품질을 인정 받았다.,금빛의 영롱한 빛깔에 기분 좋은 청포도 향이 확 코끝에 와 닿는 느낌이다. 하지만 막상 맛을 보면 샤프한 청포도 향은 사라지고 부드러운 촉감이 목 넘김으로 이어진다. 시트러스한 식감이 워낙 좋아 조개찜 등 다양한 해산물과 잘 어울리는 스타일이다.,충청북도 영동군 매곡면 옥전리 825-1
과실주,초선의 꿈,12%,국내산 포도,"초선의 꿈 (로제)은 특별한 기념일에 함께 마시면 장밋빛 사랑이 솔솔 피어날 듯한 연분홍 장미색을 가진 와인으로, 풍부한 장미향과 상큼한 사과 향은 목 넘김을 부드럽게 해주고 감미롭고 달콤한 맛에 여성분들이 좋아하는 와인이다.","눈을 황홀하게 하는 아름다운 로제와인의 색에 은은하게 올라오는 베리향, 오미의 균형이 잘 갖춰져 있으며 바디감이 있고 목넘김이 깨끗하다. 견과류와 잘 어울린다.",충북 영동군 양강면 유점지촌길 75
과실주,여포의 꿈 (화이트),12%,국내산 포도,여포의 꿈 화이트는 수확 후 24시간 맛세레이션(침용) 후 저온 발효시켜 만들며 연한 살구 빛이 매력적으로 감도는 와인이다. 달콤함과 부드러운 산도의 아로마틱한 맛은 한국 화이트와인의 매력을 그대로 느끼기에 충분하다.,신선한 포도향에 마치 포도농장에 와 있는 듯 하다. 단맛은 적고 산미가 적당히 있어 바디감이 적고 목넘김이 깔끔하다. 조기찜과 잘 어울린다.,충북 영동군 양강면 유점지촌길 75
과실주,샤토미소 레드 드라이,13%,"MBA, 산머루, 캠벨 얼리","MBA, 산머루, 캠벨 얼리를 블렌딩한 것으로 독창적인 건조와 아이스와인 제조 방법을 접목해 고농축하여 만든 소량 생산의 프리미엄 와인이다. 진한 루비색으로 농익은 과실 향과 미네랄 향이 나며 오크의 풍미와 산미,파워,긴 여운이 있는 대나무 숙성와인이다.",스테이크 등 육류요리와 잘 어울린다.,충청북도 영동군 매곡면 옥전리 825-1
과실주,샤토미소 레드 스위트,12%,"포도, 산화방지제, 효모, 설탕 등","산머루, 캠벨을 블랜딩하여, 독창적인 자연의 맛과 향이 풍부하고 붉은 자주 빛의 루비색이 매력적인 와인이다. 딸기 향과 붉은 꽃 향기의 스위트한 풍미가 있고 농익은 포도향의 아로마가 포도를 깨문듯한 느낌으로 산미가 살아있으며, 당도, 산도, 탄닌의 균형이 조화롭다. 산미가 적고 단맛이 강해 입 안에 풍부한 향을 채운다. 혀에 남은 탄닌에 의한 떫은 맛이 인상적이며 목넘김이 부드럽다.",샤토미소 와인은 느끼함을 잡아주기 때문에 가름진 육류와 함께 먹으면 좋다.,충청북도 영동군 매곡면 옥전리 825-1
과실주,추사 블루베리 와인,11%,"예산블루베리 60%(국내산), 설탕, 구연산, 무수아황산, 소르빈산칼륨",충남 예산에서 친환경 농법으로 재배한 블루베리로 만든 와인이다. 추사 애플와인의 제조사로 유명한 예산사과와인의 신제품으로 물이나 주정을 첨가하지 않고 한 달간의 저온발효와 1년 이상의 숙성 과정을 거치는 정통 와인 제조방식으로 제조되고 있다. 예산군에서는 100여곳의 농가에서 우수한 품질의 블루베리를 재배하고 있다,붉은 흑진주와 같고 잘 익은 과실향이 진하게 올라온다. 입에 넣는 순간 맛있게 느껴지며 처음에는 단맛 그리고 다음에는 연한 신맛이 뒤를 받쳐준다. 처음부터 끝까지 술의 맛이 살아있으며 적절한 산미가 목넘김을 부드럽게 만들어준다. 블루베리나 사과로 만든 파이와 함께 먹으면 좋다.,충남 예산군 고덕면 대몽로 107-25
과실주,추사 애플와인,12%,사과(국내산),추사 애플와인은 물이나 주정을 첨가하지 않고 한 달간의 저온발효와 1년 이상의 숙성 과정을 거치는 정통 와인 제조방식으로 제조되고 있다. 국내외 주류품평회에서 매년 우수한 성적을 거두고 있는 제품으로 꿀물과 같은 황금빛 색깔에 금가루가 들어 있다. 장인이 사과농사를 짓고 사위가 와인을 만들고 다양한 체험관광 프로그램이 마련되어 있어 농업 6차산업의 성공모델로 조명 받고 있다.,물처럼 맑은 빛깔을 가지고 있으며 과실의 발효향이 코를 자극시킨다. 바로 마시는 것 보다는 디켄팅을 충분히 한 후에 마시면 더욱 맛있게 즐길 수 있다. 매우 맛있는 단맛이 입 전체로 퍼지는데 그 여운이 아주 길게 남고 적절한 산미가 입 안을 시원하게 만들어 준다. 닭 백숙과 함께 먹으면 좋다.,충남 예산군 고덕면 대몽로 107-25
과실주,공주애 오디와인,15%,"국내산 오디, 정제수, 주정, 과당, 효모","공주애 오디와인은 공주에서 재배한 오디를 원료로 저온발효, 저온숙성을 통해 빚은 오디가 듬뿍 담긴 과실주이다. 아름다운 빛깔과 깊은 풍미로 눈과 입이 즐거워지는 술로 오디의 달콤함과 부드러운 맛이 일품이다. 6월 중순 흑자색으로 익은 오디는 과실에 함유되어 있는 다양한 영양성분으로 기능성식품의 재료로서 각광 받아 왔다. 양지바른 산기슭에서 농부의 땀과 정성으로 자란 청정 오디를 전통기법으로 발효. 숙성시킨 제품이다.",술을 입에 넣으면 가볍고 목 넘김이 깔끔한 것이 특징이며 마시고 난 후에도 산뜻하다. 장어 구이와 잘 어울린다.,충남 공주시 사곡면 마곡사로 49
과실주,감그린 아이스와인,10%,감(국내산),"""감그린 아이스와인""는 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.","진한 감 특유의 맛을 자랑하는 와인으로 숙성을 거듭한 홍시와 같은 식감이다. 진한 맛을 자랑하는 만큼 다양한 치즈 류와도 궁합이 좋다. 가벼운 맛의 모짜렐라 치즈부터 까방베르, 스모키 치즈까지 다양한 조합을 이룬다.",경북 청도군 풍각면 봉길1길27
과실주,감그린 스페셜,12%,감(국내산),"""감그린 스페셜""은 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.",감 본래의 맛을 잘 살린 와인으로 과육을 씹는 듯한 식감을 자랑하는 와인이다. 감 특유의 떫은 맛이 있어 기름진 음식과도 궁합이 괜찮다. 다만 자극성 적은 소고기류가 좋다.,경북 청도군 풍각면 봉길1길27
과실주,감그린 레귤러,12%,감(국내산),"""감그린 레귤러""는 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.",가벼운 청포도향과 감 특유의 가벼운 탄닌감이 살아있는 맛이다. 감 특유의 떫은 맛이 있어 기름진 음식과도 궁합이 괜찮다. 다만 자극성 적은 소고기류가 좋다.,경북 청도군 풍각면 봉길1길27
과실주,고창선운산 땡큐블루베리주,13%,"블루베리과실, 주정, 효모, 구연산, 정제수",블루베리주는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 블루베리 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 블루베리 고유의 맛과 향이 뛰어나다. 비교적 낮은 알코올도수 13%로 와인처럼 가볍게 즐길 수 있는 제품이다.,매혹적인 붉은 루비 색깔을 가지고 있고 블루베리 특유의 향과 맛이 그대로 느껴진다. 단맛과 신맛의 조화에 약간의 쓴맛이 오미를 완성시킨 술로 목 넘김이 가볍고 산뜻하다. 스테이크와 잘 어울린다.,전북 고창군 심원면 심원로 270-73
과실주,쿨샷 7.5,7.5%,"복분자과실, 주정, 효모, 구연산, 정제수","""쿨샷7.5""는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 복분자 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 복분자 고유의 맛과 향이 뛰어나다. 쿨샷7.5 한 병에는 55알의 햇복분자에서 착즙한 과즙이 들어있어 천연과즙음료를 마시는 것처럼 복분자주를 가볍게 즐길 수 있게 만든 제품이다.",분홍빛이 연하게 섞인 흑진주와 닮았다. 보통의 과실주에 비해 알코올 도수가 낮아 누구라도 편하게 즐길 수 있으며 복분자 과실향이 달콤함과 섞여 향만으로 술을 빨리 마셔보게 만드는 것이 특징인 술이다. 전체적으로 옅은 단맛이 중심을 잡고 있어 술을 잘 마시지 못하는 사람들도 편하게 마실 수 있다. 달콤한 케익 등과 잘 어울린다.,전북 고창군 심원면 심원로 270-73
과실주,고창선운산 복분자주 특1호,15%,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산에서 생산하는 고창선운산 복분자주는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 복분자 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 복분자 고유의 맛과 향이 뛰어나다. 붉은 흑진주처럼 술 빛이 매혹적이다. 아주 미세하게 쓴맛이 있지만 다른 복분자주에 비해 전체적으로 단맛이 중심을 잡고 있어 누구라도 편하게 마실 수 있다.,술을 입에 넣으면 매우 가볍고 목 넘김이 깔끔한 것이 특징이며 마시고 난 후에도 매우 산뜻하다. 장어 구이와 잘 어울린다.,전북 고창군 심원면 심원로 270-73
과실주,고창선운산 땡큐복분자주,13%,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산에서 생산하는 고창선운산 땡큐복분자주는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 복분자 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 복분자 고유의 맛과 향이 좋다. 붉은 흑진주처럼 술 빛이 매혹적이다. 아주 미세하게 쓴맛이 있지만 다른 복분자주에 비해 전체적으로 단맛이 중심을 잡고 있어 누구라도 편하게 마실 수 있다.,술을 입에 넣으면 매우 가볍고 목 넘김이 깔끔한 것이 특징이며 마시고 난 후에도 매우 산뜻하다. 장어 구이와 잘 어울린다.,전북 고창군 심원면 심원로 270-73
과실주,고도리 화이트와인 스위트,10.5%,거봉포도(영천),고도리 화이트와인 스위트는 농산물우수관리(GAP)인증 100% 친환경 거봉포도로 만들어진다. 포도의 당도가 가장 높은 10월말에 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인으로 풍부한 산미와 달콤한 과일향을 발산한다.,"새벽 공기에서 느껴지는 풀잎 향, 감귤계의 시트러스한 향, 과하지 않은 단맛이 조화를 이룬 맛이다. 과일을 즐긴다는 느낌으로 굳이 안주가 없어도 충분히 즐길 수 있는 맛이다.",경북 영천시 고경면 고도리 494-3
과실주,스타베리오디,12%,양조용포도(영천),보현산 천문대가 위치한 영천시의 상징이 별(star)이기에 스타베리 오디와인이라고 브랜드명을 지었다. 동의보감에 오디주를 상심주라고 불렀고 예로부터 수명을 늘려주는 술로 백발을 검게 만들과 노화를 방지한다고 쓰여있다. 스타베리 오디와인은 뽕나무 열매 오디로 빚은 100% 정통발효 와인이다. 아름다운 루비색을 띄며 한국 교유 과실의 복합적인 아로마향과 매력적인 부케를 즐길 수 있는 한국와인이다.,"오디 특유의 산미과 단맛이 그대로 살려져 있는 와인. 한국산 오디와인의 절정을 느낄 수 있는 맛이다. 3년 숙성의 세월이 느껴지는 묵직한 맛이 있으며, 이러한 맛과 밸런스를 맞춰 줄 자극성 적은 나물 요리 등을 추천한다.",경상북도 영천시 금호읍 원기리 414-2
과실주,애피소드 상그리아,3.5%,"포도와인, 정제주정, 정제수, 포도농축액, 고과당","애피소드상그리아는 사과와인으로 유명한 한국애플리즈에서 선보이는 새로운 제품이다. 2030대 젊은 층을 위해 출시한 제품으로 포도와인에 탄산과 당을 가미하여 청량감과 달콤한 맛을 선호하는 젊은층에게 호응을 얻고 있다. 특유의 달콤함과 청량감 가득한 탄산, 그리고 저알코올로 가볍게 마실 수 있다. 애피소드 시리즈는 애플, 상그리아, 호프 3종이 출시되어 있다. 상그리아는 스페인의 전통적인 파티 칵테일 음료로 피를 의미하는 스페인어에서 유래되었다.","사과의 상쾌함과 달콤한 레드 와인의 조합. 남녀노소 누구나 즐길 수 있는 무난한 과실주이다. 겨울에는 뜨끈하게 데워서 마셔도 좋을 맛이며, 쿠키 등과도 잘 어울린다.",경북 의성군 단촌면 일직점곡로 755
과실주,애피소드 애플,3.5%,사과,애피소드 애플은 한국애플리즈의 제조기술로 탄생한 사과와인에 탄산을 넣고 알코올 도수를 낮춘 탄산와인이다. 애플사이다를 표방하는데 프랑스에서 시드르라고 불리며 사과즙을 활용한 발효주이고 영어로는 사이다라고 대중적인 주류로 널리 음용되고 있다. 애피소드 애플은 탄산을 머금은 스파클링 사이다로서 입안 가득 상쾌한 사과향을 느낄 수 있는 저알코올 제품이다.,"사과의 맛이 그대로 나타나는 사과쥬스와 탄산의 조합. 발효취나 군더더기 맛이 없는 무난한 과실주이다. 청량감이 좋아 새우, 호박, 감자, 고구마, 오징어, 감자 등의 튀김류와 좋다.",경북 의성군 단촌면 일직점곡로 755
